SRR15323735	SRR15323736	SRR15323737	SRR15323738	SRR15323739	SRR15323740	SRR15323741	SRR15323742	SRR15323743	SRR15323744	SRR15323745	SRR15323746	SRR15323747	SRR15323748	SRR15323749	SRR15323750	SRR15323751
ENSG00000084072	233	221	118	436	130	97	140	90	188	66	123	78	286	139	112	175	132
ENSG00000084073	512	533	195	337	457	144	256	92	380	106	98	77	156	438	127	463	243
ENSG00000084090	2266	1957	727	3241	1624	1133	1364	816	1564	981	693	684	1281	885	508	1104	716
ENSG00000084092	303	193	192	692	159	79	124	117	183	149	119	116	197	110	81	162	116
ENSG00000084093	97	92	108	233	0	81	106	63	103	101	89	36	1431	157	156	55	159
ENSG00000084110	7	5	0	9	0	0	7	4	3	1	1	0	10	7	18	3	2
ENSG00000084112	786	1157	151	1128	212	596	567	737	591	153	199	89	332	199	148	175	135
ENSG00000084207	357	306	1027	1640	878	449	214	420	379	339	459	383	954	1272	652	988	878
ENSG00000084234	4099	3294	1165	8199	1676	498	3011	2142	2534	394	630	330	1877	1695	993	2772	1839
ENSG00000084444	290	313	682	703	262	403	361	1071	617	130	108	73	197	87	75	197	85
ENSG00000084453	8	15	6	31	41	0	60	50	5	0	11	13	103	83	118	22	28
ENSG00000084463	1934	2736	521	1463	915	1341	1412	1018	1756	288	270	173	739	422	257	611	268
ENSG00000084623	629	507	397	1145	456	206	256	209	380	282	238	212	564	309	268	586	441
ENSG00000084628	913	223	114	914	77	6	211	103	406	224	430	113	237	116	19	142	72
ENSG00000084636	160	88	212	223	30	62	71	259	48	68	132	103	85	2194	1982	1764	171
ENSG00000084652	1398	899	424	2844	510	341	650	419	429	364	424	290	797	910	620	1168	696
ENSG00000084674	4	6	0	1	0	0	1	18	4	11	1	2	3	0	0	0	1
ENSG00000084676	2292	2878	695	3263	850	1230	2139	1374	1709	846	810	709	1339	1055	554	892	989
ENSG00000084693	359	174	0	512	181	112	155	115	96	117	82	116	174	240	111	237	162
ENSG00000084710	1227	826	276	3381	155	94	808	798	621	67	183	92	455	336	597	564	302
ENSG00000084731	1363	647	142	2265	180	178	959	478	787	247	195	151	350	253	129	487	259
ENSG00000084733	2213	1566	577	2254	1249	577	1668	810	1396	722	624	452	1204	704	345	909	567
ENSG00000084734	3	0	0	0	0	0	2	0	2	0	0	0	0	4	0	0	2
ENSG00000084754	660	511	336	1633	616	227	318	91	555	385	398	599	591	589	361	657	684
ENSG00000084764	315	227	45	549	39	57	327	162	188	31	68	9	93	24	35	109	31
ENSG00000084774	865	660	215	1620	167	234	519	396	244	356	336	310	879	572	369	610	390
ENSG00000085063	794	675	179	830	998	119	510	484	1024	183	184	150	587	255	126	429	471
ENSG00000085117	11	30	7	27	13	8	36	18	21	9	11	1	186	106	51	64	135
ENSG00000085185	145	168	77	1163	17	22	56	116	76	44	43	37	85	60	53	72	50
ENSG00000085224	2949	2815	1459	6663	1785	850	1279	1576	3162	1515	1162	556	1683	1131	582	1324	1094
ENSG00000085231	217	154	84	290	155	144	145	117	137	52	78	48	254	134	70	127	104
ENSG00000085265	22	63	9	52	10	57	24	37	42	22	7	1	64	16	113	22	6
ENSG00000085274	672	657	239	709	350	455	464	354	470	388	198	106	494	356	140	358	162
ENSG00000085276	101	89	29	60	82	5	94	82	51	28	30	5	135	13	32	48	25
ENSG00000085365	912	1206	268	823	375	525	1730	886	717	326	296	141	780	308	158	310	207
ENSG00000085377	605	785	217	1176	405	201	648	245	455	328	303	175	428	156	60	145	104
ENSG00000085382	528	240	132	623	358	249	242	230	359	129	144	103	409	105	36	131	66
ENSG00000085415	526	443	284	854	357	152	250	221	348	349	261	113	254	372	153	502	243
ENSG00000085433	2327	1313	649	1100	885	393	1192	641	1990	356	659	361	595	412	154	653	422
ENSG00000085449	942	717	226	810	642	468	966	534	471	398	410	199	904	745	395	816	545
ENSG00000085465	38	54	30	101	21	60	72	22	25	30	15	0	31	34	27	26	16
ENSG00000085491	195	489	206	231	480	349	203	141	226	289	205	181	531	354	135	340	206
ENSG00000085511	214	343	178	1701	258	381	334	83	337	287	138	121	331	293	93	148	125
ENSG00000085514	66	38	8	83	12	13	42	66	9	11	6	5	47	12	24	21	6
ENSG00000085552	52	6	0	201	25	25	157	19	0	76	149	44	91	370	108	590	127
ENSG00000085563	140	137	31	72	145	5	125	101	69	76	116	77	147	26	14	57	39
ENSG00000085644	52	51	43	106	14	9	28	35	54	18	24	12	4	15	21	58	24
ENSG00000085662	845	558	338	564	461	185	532	420	590	153	259	148	251	452	434	593	760
ENSG00000085719	2105	1904	1577	2957	1595	390	907	848	1187	490	637	322	1104	957	450	1023	641
ENSG00000085721	1688	1436	649	1653	1089	501	1246	494	1237	358	441	288	817	585	385	727	538
ENSG00000085733	1328	850	231	1903	453	210	599	402	599	252	308	179	546	618	456	672	520
ENSG00000085741	2	19	4	15	11	1	19	7	2	2	18	22	37	130	95	284	113
ENSG00000085760	463	266	174	509	375	228	239	167	305	168	155	127	399	289	155	350	237
ENSG00000085788	946	673	417	934	606	552	537	244	566	326	429	246	982	695	333	648	505
ENSG00000085831	8	20	58	76	13	6	3	33	4	0	3	2	11	18	8	4	3
ENSG00000085832	602	548	710	735	375	210	486	605	564	518	333	271	547	602	306	608	404
ENSG00000085840	245	301	71	508	122	125	104	41	87	103	58	50	259	88	39	86	48
ENSG00000085871	70	77	28	124	54	9	60	44	46	11	19	14	33	19	30	49	67
ENSG00000085872	347	238	80	967	45	66	171	204	121	87	100	57	149	160	143	206	85
ENSG00000085978	263	269	73	331	168	99	198	99	259	86	57	56	176	129	81	178	91
ENSG00000085982	592	941	245	475	389	276	429	341	380	242	206	111	836	385	261	463	411
ENSG00000085998	456	342	151	420	256	103	198	241	288	105	129	134	224	370	190	358	390
ENSG00000085999	100	68	28	151	15	24	9	10	13	64	39	17	29	35	31	88	50
ENSG00000086015	2399	2096	781	2326	427	746	1295	2373	947	313	548	420	407	852	690	1699	729
ENSG00000086061	2240	1416	531	3288	1443	1074	1492	760	2158	796	804	363	1140	724	386	985	692
ENSG00000086062	63	61	5	72	31	60	29	26	44	57	27	12	76	49	37	56	61
ENSG00000086065	969	701	235	1080	798	417	599	381	659	252	441	169	523	472	242	541	422
ENSG00000086102	1050	1054	336	1846	434	664	724	542	705	412	476	167	732	516	318	470	386
ENSG00000086159	36	8	7	29	4	0	5	23	27	4	5	0	1	43	13	18	57
ENSG00000086189	145	31	64	135	52	36	42	19	44	34	10	23	215	90	10	103	73
ENSG00000086200	666	534	283	854	431	397	362	287	433	365	206	100	494	358	187	349	309
ENSG00000086205	0	2	10	4	65	0	11	7	11	0	0	0	13	10	7	7	14
ENSG00000086232	1292	961	443	1972	490	550	403	622	1528	464	288	229	587	589	300	560	562
ENSG00000086288	1	1	0	1	2	1	4	0	4	0	1	0	2	0	1	0	1
ENSG00000086289	89	72	37	24	34	12	29	26	120	48	51	75	168	156	75	276	120
ENSG00000086300	164	149	9	155	125	26	186	180	331	20	46	24	139	131	40	197	133
ENSG00000086475	907	734	266	904	451	214	404	572	337	492	347	276	900	519	341	573	390
ENSG00000086504	177	138	91	279	153	39	77	61	80	35	78	53	106	110	30	154	91
ENSG00000086506	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000086544	200	131	123	388	92	33	99	109	113	23	51	41	192	103	72	96	111
ENSG00000086548	0	2	3	0	0	0	1	0	4	0	0	0	0	0	2	0	0
ENSG00000086570	34	173	0	29	10	0	597	26	40	55	1020	0	816	0	97	1111	22
ENSG00000086589	749	559	216	1123	397	313	326	330	558	191	330	199	620	285	234	450	233
ENSG00000086598	2289	1535	1186	2515	1898	752	1260	889	3394	764	613	457	2005	1897	1042	2042	1496
ENSG00000086619	42	11	73	368	77	73	42	92	39	62	43	23	117	289	58	195	93
ENSG00000086666	866	612	158	458	633	287	382	294	526	353	244	140	708	427	217	964	324
ENSG00000086696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000086712	574	489	380	1122	289	246	420	288	595	215	192	81	392	348	151	293	277
ENSG00000086717	46	62	3	19	45	51	32	34	21	4	24	0	24	23	11	90	11
ENSG00000086730	50	71	12	115	14	18	26	52	31	19	14	11	117	27	35	24	23
ENSG00000086758	5191	6716	2581	11954	1697	1955	3332	3028	3531	2383	2028	1378	4890	3245	3070	2843	3148
ENSG00000086827	368	380	205	719	289	149	151	213	203	177	154	78	406	239	132	314	184
ENSG00000086848	483	465	245	471	243	159	170	188	417	118	157	113	241	138	113	243	170
ENSG00000086967	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
ENSG00000086991	122	79	30	76	111	42	46	74	72	66	93	37	307	9	13	19	10
ENSG00000087008	164	214	90	230	113	105	106	99	127	50	75	51	180	48	62	80	95
ENSG00000087053	539	323	196	540	544	301	186	139	387	439	224	149	422	480	192	508	322
ENSG00000087074	350	168	83	553	92	129	119	140	90	35	164	80	231	125	118	197	88
ENSG00000087076	1	4	1	2	5	1	4	8	4	0	9	9	43	22	25	22	31
ENSG00000087077	22	9	23	55	28	1	34	34	26	23	27	54	245	155	114	153	87
ENSG00000087085	172	201	3	101	30	5	182	134	92	0	8	0	4	15	4	28	12
ENSG00000087086	3235	2028	1649	3125	1375	1686	1362	1859	2192	1684	1767	759	4170	2234	1074	3913	1880
ENSG00000087087	1435	845	279	2397	185	264	962	589	383	227	338	258	794	550	443	1052	298
ENSG00000087088	47	31	11	117	14	18	34	35	18	3	54	15	54	43	22	71	47
ENSG00000087095	1585	1957	694	1203	1862	1925	939	2065	1047	182	172	114	434	315	217	424	269
ENSG00000087111	138	91	93	113	77	56	15	116	64	65	81	10	86	55	69	206	172
ENSG00000087116	135	45	237	568	18	18	255	21	11	106	46	66	72	108	31	1740	16
ENSG00000087128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000087152	956	611	145	830	300	88	402	426	418	98	132	100	267	260	178	338	186
ENSG00000087157	254	190	33	239	31	54	143	146	51	29	18	26	35	46	33	66	57
ENSG00000087191	514	402	88	534	282	127	403	164	401	124	66	89	151	137	138	244	213
ENSG00000087206	427	279	177	663	208	135	187	107	231	90	95	94	267	201	114	178	148
ENSG00000087237	2	2	1	2	3	0	0	0	1	4	2	1	5	0	3	0	1
ENSG00000087245	46	21	49	181	46	100	87	28	38	458	265	271	351	865	831	1414	1800
ENSG00000087250	15	45	63	11	55	1	52	31	121	0	0	0	22	42	10	49	148
ENSG00000087253	88	49	77	57	43	22	50	29	36	37	29	15	230	27	29	40	19
ENSG00000087258	516	734	179	1136	22	41	342	319	218	63	230	25	697	50	21	51	37
ENSG00000087263	295	217	300	449	125	145	115	88	104	55	84	73	202	177	77	204	132
ENSG00000087266	1142	772	173	858	182	153	565	442	346	153	263	112	499	735	244	523	274
ENSG00000087269	705	453	294	962	283	191	375	276	292	215	217	124	491	457	345	563	294
ENSG00000087274	3290	2055	1053	2379	751	463	1674	1387	1335	629	1062	756	1848	1562	877	2132	1078
ENSG00000087299	325	461	137	823	111	231	332	181	179	131	177	59	389	221	141	115	111
ENSG00000087301	1982	1493	703	1849	893	935	1077	620	1314	475	435	176	1172	375	157	398	201
ENSG00000087302	1104	941	506	1450	896	948	942	453	746	466	399	204	884	615	298	532	442
ENSG00000087303	3095	2557	38	602	81	2	1241	239	2493	203	126	84	62	23	61	26	28
ENSG00000087338	483	445	173	1081	180	400	314	182	236	388	227	177	553	266	151	225	148
ENSG00000087365	1921	1228	405	3560	447	358	932	831	793	388	714	497	1301	984	559	1189	678
ENSG00000087448	1133	643	473	2587	343	361	949	976	1214	292	380	281	1022	911	299	922	598
ENSG00000087460	8157	3544	3304	17762	2442	1941	2312	2552	3198	127	5902	2419	5599	3761	2483	6357	2734
ENSG00000087470	2110	1136	520	1711	735	682	820	1152	1349	433	331	220	930	454	248	793	347
ENSG00000087494	245	38	40	392	5	0	2	118	110	0	1	9	37	12	1	20	23
ENSG00000087495	281	69	9	858	0	2	76	16	95	143	154	79	88	16	52	91	21
ENSG00000087502	935	752	295	945	396	604	538	616	518	341	286	179	937	397	223	324	194
ENSG00000087510	14	33	4	46	12	2	14	12	6	3	6	1	27	9	2	3	6
ENSG00000087586	218	127	52	436	164	83	31	29	83	86	87	46	179	80	46	165	86
ENSG00000087589	46	19	4	45	6	27	24	21	8	20	14	10	75	14	13	12	12
ENSG00000087842	33	10	10	6	6	3	28	17	21	6	4	0	21	10	3	29	9
ENSG00000087884	32	56	15	82	84	11	37	26	41	8	13	16	54	27	44	30	46
ENSG00000087903	5	7	3	2	1	4	5	5	6	7	5	10	420	19	29	87	44
ENSG00000087995	608	552	144	516	262	136	345	278	211	116	106	91	334	155	121	141	112
ENSG00000088002	0	2	1	1	0	1	0	1	0	2	0	0	0	0	2	1	1
ENSG00000088035	117	103	51	210	69	96	86	71	78	62	70	21	208	43	46	48	37
ENSG00000088038	98	100	93	453	18	40	77	126	52	36	53	16	80	115	92	83	29
ENSG00000088053	15	21	5	26	4	6	9	9	4	6	3	1	20	4	2	1	3
ENSG00000088179	2555	2087	540	2719	1445	1577	2417	2069	1477	616	824	305	1646	1027	544	1089	668
ENSG00000088205	994	729	258	1000	515	452	436	266	936	443	317	175	558	449	187	597	337
ENSG00000088247	849	786	390	2016	192	413	438	606	289	236	300	240	709	562	322	778	221
ENSG00000088256	1001	573	444	1428	179	164	522	545	271	95	288	197	243	321	125	404	171
ENSG00000088280	292	156	1	48	89	23	140	206	86	55	45	27	330	284	133	149	185
ENSG00000088298	142	68	30	225	91	65	81	47	74	48	58	44	114	87	74	102	99
ENSG00000088305	213	109	9	183	30	35	26	41	28	70	65	10	57	45	29	120	89
ENSG00000088320	10	2	2	9	0	0	2	2	3	0	3	1	4	6	6	23	52
ENSG00000088325	1391	696	432	3656	771	701	447	250	470	675	499	325	1156	656	375	1060	515
ENSG00000088340	5	11	4	8	2	3	7	2	7	0	1	2	13	13	11	12	0
ENSG00000088356	184	75	45	245	92	38	72	70	83	119	65	35	76	83	53	139	103
ENSG00000088367	1072	375	111	2482	68	98	734	556	523	137	253	158	437	242	186	358	209
ENSG00000088386	0	21	1	11	3	3	1	0	1	1	0	2	3	4	2	2	2
ENSG00000088387	503	891	2489	4782	2019	3178	855	867	795	190	413	48	329	796	276	718	528
ENSG00000088448	982	1114	778	1770	852	621	684	504	496	671	361	316	806	710	353	379	453
ENSG00000088451	62	80	300	167	142	81	81	39	43	78	56	38	156	130	55	114	91
ENSG00000088538	735	1066	133	1114	34	762	773	2465	439	22	302	1	552	700	288	696	329
ENSG00000088543	234	184	56	248	70	62	132	147	120	27	92	35	123	104	65	102	71
ENSG00000088682	245	138	66	198	86	28	61	73	44	45	58	75	172	147	75	147	143
ENSG00000088726	8	27	8	34	2	9	3	16	8	10	9	2	16	8	19	5	3
ENSG00000088727	57	18	14	52	74	36	50	35	41	15	13	22	43	22	12	19	19
ENSG00000088756	622	404	2499	2369	1675	1645	543	607	313	187	134	27	321	1142	478	119	767
ENSG00000088766	262	150	210	521	211	77	260	138	99	57	106	60	289	418	285	907	315
ENSG00000088782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000088808	60	121	37	270	40	122	224	82	37	76	39	3	69	42	56	112	43
ENSG00000088812	1542	888	483	2737	821	702	1108	824	780	417	571	350	1237	715	460	715	631
ENSG00000088826	58	49	8	108	26	7	58	65	44	14	26	18	92	30	21	74	55
ENSG00000088827	36	12	6	19	31	31	8	9	0	30	21	11	34	11	7	5	5
ENSG00000088832	162	111	198	866	170	57	218	172	195	165	208	111	193	279	336	428	209
ENSG00000088833	406	249	98	665	224	100	194	208	99	88	125	54	151	187	112	263	194
ENSG00000088836	11	6	1	4	0	0	53	2	3	41	28	356	11	24	48	15	8
ENSG00000088854	1785	626	205	1654	337	332	952	673	419	374	451	280	1002	287	279	258	309
ENSG00000088876	216	92	95	478	155	100	85	149	99	82	113	77	240	119	90	191	115
ENSG00000088881	0	22	0	0	13	0	0	6	6	0	8	16	59	79	0	19	11
ENSG00000088882	740	358	4	1054	182	91	47	105	26	248	370	265	39	980	586	244	422
ENSG00000088888	1061	511	212	2152	282	219	550	619	267	260	340	252	1395	644	514	506	551
ENSG00000088899	468	180	71	658	43	22	353	344	86	120	319	205	261	118	97	134	70
ENSG00000088926	2	0	0	0	1	3	2	0	6	0	0	0	0	0	0	1	0
ENSG00000088930	2620	1073	817	3691	2035	1348	1261	982	985	1198	896	631	1840	1150	688	1340	985
ENSG00000088970	271	138	126	350	286	450	219	188	104	345	213	100	464	141	86	159	151
ENSG00000088986	1246	662	608	2499	839	375	513	532	1167	461	496	326	696	549	319	1001	695
ENSG00000088992	0	6	1	21	16	8	15	10	2	5	7	9	28	36	3	27	3
ENSG00000089006	99	38	62	238	119	31	50	32	39	99	70	46	246	110	25	158	166
ENSG00000089009	7876	4907	5832	25797	6395	6368	2953	2030	7233	5496	4995	3980	21675	6470	6461	10157	6679
ENSG00000089012	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0
ENSG00000089022	1451	1156	805	2298	441	705	1102	1072	869	537	631	284	1064	664	378	655	328
ENSG00000089041	62	66	23	82	23	16	54	63	48	24	26	12	62	37	36	34	40
ENSG00000089048	682	247	162	1163	387	363	499	255	286	269	210	82	710	490	252	499	298
ENSG00000089050	699	402	162	837	527	215	451	298	210	125	200	131	812	630	339	1300	567
ENSG00000089053	1087	685	478	1551	742	353	484	430	1196	356	324	245	587	649	268	680	580
ENSG00000089057	916	674	211	1035	358	462	932	680	489	202	253	118	793	466	272	765	653
ENSG00000089060	56	29	8	69	14	2	16	32	75	81	59	153	56	61	48	59	67
ENSG00000089063	914	386	210	600	575	324	375	301	294	254	286	221	628	526	321	883	450
ENSG00000089091	53	14	0	88	34	17	21	5	21	8	25	27	43	13	11	22	4
ENSG00000089094	1734	909	217	1214	162	125	515	402	1118	234	316	173	373	280	153	321	185
ENSG00000089101	69	0	10	12	11	0	13	15	8	8	34	11	12	1	0	0	0
ENSG00000089116	39	0	0	0	4	107	1	28	195	1	0	0	19	12	1	1	2
ENSG00000089123	101	3	48	151	41	44	66	50	15	18	39	18	10	0	15	55	46
ENSG00000089127	89	17	2	12	39	25	60	12	88	20	23	7	40	20	7	5	21
ENSG00000089154	2306	1630	592	4108	474	567	1015	1243	1209	682	599	449	1316	1076	894	1153	837
ENSG00000089157	4454	3082	5930	14935	4948	2573	1638	1246	4427	7233	4744	4557	12702	6464	6731	8444	7053
ENSG00000089159	158	151	79	583	44	41	51	182	184	47	52	12	97	101	113	163	109
ENSG00000089163	24	19	6	87	20	9	10	30	42	2	4	0	4	3	4	6	10
ENSG00000089169	2532	172	7	58	43	2	1246	148	1647	1	0	156	24	44	41	42	57
ENSG00000089177	242	132	35	447	141	77	501	227	207	274	107	116	390	212	256	227	239
ENSG00000089195	179	34	66	276	171	66	90	46	37	98	69	58	69	190	38	231	110
ENSG00000089199	10838	1000	1291	15861	2164	1905	4550	14932	739	151	610	141	227	1234	732	2436	1283
ENSG00000089220	3361	2330	1530	3549	1468	624	1255	1315	2858	820	1300	635	2150	1617	767	1742	1373
ENSG00000089225	1	236	0	80	0	1	7	87	20	2	0	1	3	1	35	101	1
ENSG00000089234	1075	675	327	989	466	378	484	438	880	169	259	128	464	432	164	389	289
ENSG00000089248	492	341	182	819	312	247	417	233	482	121	191	138	472	273	267	394	354
ENSG00000089250	37	70	8	103	8	28	48	46	74	25	14	6	58	52	47	157	45
ENSG00000089280	177	42	150	367	125	47	76	18	120	102	50	44	32	208	9	25	75
ENSG00000089289	420	353	456	1166	373	218	216	163	315	203	199	173	585	139	152	228	196
ENSG00000089327	31	19	0	41	15	16	21	20	26	19	15	3	46	21	10	28	8
ENSG00000089335	1661	1286	946	1515	1182	850	833	674	1082	474	537	385	1079	605	291	539	582
ENSG00000089351	297	228	107	740	49	27	118	169	88	87	65	67	109	120	120	175	54
ENSG00000089356	2	0	0	1	4	9	1	1	0	0	0	1	3	0	0	0	0
ENSG00000089472	64	23	11	12	63	0	6	0	0	0	3	26	18	21	0	19	44
ENSG00000089486	288	202	97	425	47	28	198	177	101	49	118	66	241	142	105	198	130
ENSG00000089505	42	47	13	113	3	12	5	11	10	11	19	12	39	27	17	41	11
ENSG00000089558	10	3	4	73	0	0	0	4	5	7	10	1	2	18	11	29	17
ENSG00000089597	1959	1498	649	3295	1722	449	979	669	1257	707	593	586	1467	1674	1229	2345	1865
ENSG00000089639	248	243	3	188	4	23	28	175	9	70	28	43	50	37	34	79	5
ENSG00000089682	644	1003	477	1972	438	752	330	614	439	235	212	104	1135	561	224	268	214
ENSG00000089685	748	903	254	928	443	214	270	82	238	248	170	93	301	358	158	658	245
ENSG00000089692	8	15	0	83	0	12	0	16	4	0	3	2	0	4	18	0	6
ENSG00000089693	703	506	332	1360	416	271	409	394	578	130	286	152	351	444	251	618	349
ENSG00000089723	15	17	10	91	39	28	13	13	34	14	10	8	36	4	11	10	20
ENSG00000089737	1523	1329	812	2382	1086	1062	1351	699	1103	326	398	211	685	763	417	1082	680
ENSG00000089775	1198	879	377	1130	223	378	690	495	394	252	270	154	946	445	274	368	241
ENSG00000089818	612	229	71	195	295	154	411	162	542	34	116	42	44	73	31	283	53
ENSG00000089820	30	35	39	11	21	0	14	36	14	9	0	7	56	39	60	95	53
ENSG00000089847	28	30	8	22	0	6	27	4	13	3	1	3	18	14	3	9	3
ENSG00000089876	344	429	41	166	190	142	379	364	362	127	94	92	407	335	122	205	208
ENSG00000089902	755	798	631	1443	436	903	589	291	401	292	306	181	1009	382	261	503	238
ENSG00000089916	2827	3354	1770	5291	1705	2421	3009	1534	2765	1015	925	516	1778	1390	1212	1155	1596
ENSG00000090006	143	154	298	339	25	132	66	26	0	75	27	162	86	506	436	282	126
ENSG00000090013	47	31	305	171	56	18	35	46	42	24	16	25	49	27	19	18	44
ENSG00000090020	68	103	33	239	16	28	54	54	32	33	22	16	44	66	44	59	41
ENSG00000090054	437	176	35	342	312	177	222	124	235	107	45	76	219	230	110	383	148
ENSG00000090060	3212	3003	1754	5108	2460	2479	2258	1452	2630	1470	1180	761	2793	1932	818	1690	994
ENSG00000090061	82	85	27	333	25	33	40	38	53	45	34	15	84	52	38	39	22
ENSG00000090097	2917	3139	1244	2523	1828	1826	1141	2425	1085	508	224	365	150	1507	1460	2241	1714
ENSG00000090104	98	20	18	25	25	164	23	66	56	36	52	15	476	38	3	70	25
ENSG00000090238	246	215	34	427	48	27	139	180	117	31	110	40	154	73	37	119	56
ENSG00000090263	484	233	174	251	249	112	290	227	396	111	84	73	258	122	119	168	195
ENSG00000090266	374	313	226	484	341	142	276	211	361	119	132	108	176	119	56	177	157
ENSG00000090273	429	308	152	1087	149	159	243	182	269	122	159	110	244	247	175	259	194
ENSG00000090316	345	387	138	242	217	108	133	130	155	141	86	140	185	234	157	313	239
ENSG00000090339	57	39	1	24	21	20	21	23	27	33	29	8	75	27	7	37	15
ENSG00000090372	690	416	271	816	232	227	343	355	227	89	222	135	368	506	221	678	302
ENSG00000090376	139	201	30	140	76	28	76	44	38	1828	796	62	159	268	168	59	26
ENSG00000090382	116	108	6	68	39	87	42	30	198	58	63	32	129	59	367	79	23
ENSG00000090402	0	0	0	10	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSG00000090432	188	151	77	253	91	59	107	61	106	53	66	61	82	136	68	130	141
ENSG00000090447	107	28	37	90	14	16	40	46	19	53	23	34	29	38	27	35	17
ENSG00000090470	485	447	126	822	210	196	320	203	236	203	157	119	385	205	161	192	160
ENSG00000090487	549	348	196	831	340	210	196	201	397	308	216	125	421	471	216	382	325
ENSG00000090512	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000090520	314	269	81	331	255	102	208	82	259	162	108	54	159	261	140	346	311
ENSG00000090530	4	11	4	11	19	6	5	5	21	4	10	19	23	16	3	2	10
ENSG00000090534	6	4	1	0	1	0	10	14	8	2	2	1	2	7	2	8	1
ENSG00000090539	102	19	0	2	17	0	76	125	32	15	1	0	17	29	13	59	7
ENSG00000090554	13	14	3	14	6	4	12	16	2	4	18	1	4	21	10	12	0
ENSG00000090565	563	297	149	1445	84	90	332	308	137	117	235	131	516	564	209	398	182
ENSG00000090581	115	113	43	339	90	52	96	96	58	29	83	44	151	149	90	232	138
ENSG00000090612	1795	1519	851	1682	1476	1165	1021	1053	1252	597	550	397	1603	829	368	640	639
ENSG00000090615	1544	1024	476	2847	336	356	737	788	783	262	407	232	652	673	444	729	507
ENSG00000090621	272	168	88	506	48	51	81	74	94	83	129	68	278	201	130	270	108
ENSG00000090659	30	10	7	24	0	0	3	14	10	31	19	2	6	2	3	4	6
ENSG00000090661	5	66	257	92	133	109	62	63	39	11	7	0	106	62	15	120	138
ENSG00000090674	87	59	42	158	46	30	43	123	51	0	19	15	28	43	35	103	42
ENSG00000090686	1126	1346	659	2917	442	774	826	729	646	542	455	279	900	755	463	572	516
ENSG00000090776	1457	230	127	1002	145	9	421	238	288	37	80	56	340	61	51	58	57
ENSG00000090857	1085	1013	389	1854	332	299	219	478	362	330	341	343	881	410	356	545	371
ENSG00000090861	885	645	290	1499	325	129	262	466	517	169	238	152	530	312	249	484	557
ENSG00000090863	3167	2214	854	3286	476	462	904	1058	805	750	536	410	1492	1133	841	1164	1225
ENSG00000090889	556	627	277	1615	403	255	161	112	157	358	195	130	522	272	138	399	282
ENSG00000090905	2227	2164	824	3923	868	902	1427	973	1449	778	653	388	2050	1100	763	951	684
ENSG00000090924	339	418	66	571	39	70	147	121	98	146	94	72	364	152	65	184	69
ENSG00000090932	10	1	3	22	7	0	4	9	8	67	27	79	107	56	0	36	29
ENSG00000090971	84	62	37	181	48	37	70	44	24	27	30	17	75	30	17	61	58
ENSG00000090975	304	232	42	605	6	9	112	103	126	65	164	108	55	197	267	167	147
ENSG00000090989	1615	1169	636	1239	1059	385	719	581	1150	332	401	258	1086	491	278	604	459
ENSG00000091009	1431	1113	512	1312	690	895	965	614	890	451	448	251	1122	555	231	554	324
ENSG00000091010	4	4	3	4	0	1	0	0	0	0	0	0	6	2	0	0	0
ENSG00000091039	4309	2959	1628	3857	2047	1755	1866	1978	2551	1162	1377	680	2714	1447	473	1245	768
ENSG00000091073	25	26	3	73	3	3	13	8	9	13	10	4	29	13	13	20	4
ENSG00000091106	11	1	0	2	5	4	6	3	12	0	3	1	24	9	12	5	2
ENSG00000091127	530	222	195	521	239	123	323	131	255	208	171	122	341	272	88	290	122
ENSG00000091128	2	2	23	87	10	20	14	8	3	9	5	16	9	18	18	3	22
ENSG00000091129	796	992	2907	9140	1765	2601	2508	768	2561	1021	2940	2701	1214	13002	6247	15223	8067
ENSG00000091136	648	341	1041	1271	474	802	379	298	795	292	450	503	74	530	579	1306	1357
ENSG00000091137	5	0	10	22	7	2	3	10	3	15	3	0	8	8	5	0	3
ENSG00000091138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000091140	664	580	546	924	443	479	657	419	951	373	246	135	372	269	130	384	181
ENSG00000091157	1236	1458	470	1628	526	1122	1012	1001	1111	312	320	126	580	400	249	491	466
ENSG00000091164	1167	974	534	1430	520	850	697	609	850	469	298	198	988	445	326	557	383
ENSG00000091181	5	15	1	13	5	1	5	3	4	3	1	1	16	2	7	2	3
ENSG00000091262	0	7	13	18	27	6	7	5	2	1	0	0	15	5	0	13	0
ENSG00000091317	723	510	165	476	593	264	458	330	379	374	247	193	828	713	373	873	465
ENSG00000091409	311	218	64	203	201	27	844	203	181	80	370	99	608	1057	108	993	448
ENSG00000091428	110	90	17	170	116	64	164	63	101	36	64	11	247	26	17	87	18
ENSG00000091436	678	1333	436	796	505	373	193	442	289	499	259	213	960	677	384	730	705
